id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
1,STREET,824486.617,92476.373,34.1376,0.003092,231,1,506,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
2,STREET,824389.939,92533.749,34.1376,0.026080,85,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
3,STREET,824638.546,92597.981,32.9184,0.034819,4,1,503,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
4,STREET,824622.769,92605.570,32.3088,0.011418,86,1,503,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
5,STREET,824457.942,92709.179,29.8704,0.003409,93,1,490,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
6,STREET,823997.757,92590.710,29.2608,0.002432,171,1,400,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
7,STREET,823911.646,92622.249,30.1752,0.003857,221,1,572,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
8,STREET,824209.103,92613.891,32.0040,0.028512,9,1,491,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
9,STREET,824240.582,92704.807,29.2608,0.014065,10,1,492,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
10,STREET,824268.573,92786.844,28.0416,0.005017,95,1,501,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
11,STREET,824776.201,92741.568,32.3088,0.042029,12,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
12,STREET,824764.633,92750.317,31.6992,0.004218,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
13,STREET,824753.115,92758.664,31.6992,0.005251,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
14,STREET,824753.114,92758.667,31.6992,0.005252,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
15,STREET,824324.998,92767.309,29.2608,0.020418,10,1,457,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
16,STREET,824355.405,92851.195,28.3464,0.012627,96,1,419,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
17,STREET,824375.325,92912.219,28.3464,0.016429,27,1,419,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
18,STREET,824706.118,92792.734,31.3944,0.003077,86,1,392,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
19,STREET,824706.113,92792.735,31.3944,0.003077,86,1,392,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
20,STREET,824583.101,92881.927,29.8704,0.004426,22,1,576,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
21,STREET,824507.673,92816.859,29.8704,0.007863,22,1,511,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
22,STREET,824446.488,92864.465,29.2608,0.010670,17,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
23,STREET,824583.100,92881.930,29.8704,0.004426,22,1,576,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
24,STREET,824583.096,92881.931,29.8704,0.004426,22,1,576,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
25,STREET,824496.929,92944.741,29.8704,0.029150,155,1,436,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
26,STREET,824496.928,92944.744,29.8704,0.029151,155,1,436,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
27,STREET,824332.079,92947.253,27.4320,0.007498,99,1,420,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
28,STREET,824362.910,93002.604,27.7368,0.004811,27,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
29,STREET,824380.400,93029.685,27.7368,0.018233,99,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
30,STREET,823350.768,93086.343,32.0040,0.010091,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
31,STREET,823345.564,93092.187,32.0040,0.009184,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
32,STREET,823343.205,93097.005,32.0040,0.008747,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
33,STREET,823341.457,93104.173,32.0040,0.008306,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
34,STREET,823340.886,93111.932,32.0040,0.007939,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
35,STREET,823341.487,93123.281,32.0040,0.007471,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
36,STREET,823344.620,93132.593,32.0040,0.007225,244,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
37,STREET,823351.485,93142.573,32.0040,0.007252,39,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
38,STREET,823354.394,93145.103,32.0040,0.007601,39,1,426,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
39,STREET,823415.158,93197.450,31.3944,0.004158,42,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
40,STREET,823227.992,93147.193,32.3088,0.012189,230,1,382,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
41,STREET,823246.164,93163.884,32.3088,0.009755,230,1,382,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
42,STREET,823560.891,93213.333,30.7848,0.022892,150,1,570,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
43,STREET,823230.078,93269.251,32.6136,0.006889,44,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
44,STREET,823296.544,93327.672,32.0040,0.013868,56,1,519,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
45,STREET,823356.280,93262.463,32.6136,0.013900,39,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
46,STREET,823479.281,93305.995,32.9184,0.023740,48,1,427,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
47,STREET,823445.293,93342.420,33.2232,0.006178,65,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
48,STREET,823504.610,93276.977,32.0040,0.014350,42,1,427,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
49,STREET,823577.785,93341.914,32.6136,0.008218,50,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
50,STREET,823630.890,93393.702,32.0040,0.005344,53,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
51,STREET,823658.056,93414.727,32.3088,0.026002,53,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
52,STREET,823670.598,93420.099,32.3088,0.061603,53,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
53,STREET,823680.252,93422.275,31.6992,0.038913,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
54,STREET,823689.762,93420.669,31.6992,0.047563,252,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
