id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
1,STREET,824486.616670103,92476.3733503916,34.1376,0.0030924992206298,231,1,506,P-50x100,0.818,0.415,0.013,0.3197,0,0
2,STREET,824389.939095147,92533.7487092415,34.1376,0.0260802937533456,85,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
3,STREET,824638.545697935,92597.9805807738,32.9184,0.0348189855267685,4,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
4,STREET,824622.768629491,92605.5702655957,32.3088,0.011417520986324,86,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
5,STREET,824457.942059143,92709.1790583776,29.8704,0.0034094487045562,93,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
6,STREET,823997.757079515,92590.7102953152,29.2608,0.0024318384075602,171,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
7,STREET,823911.645551737,92622.2492322368,30.1752,0.0038574363751083,221,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
8,STREET,824209.103356823,92613.8910489562,32.004,0.0285122528908623,9,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
9,STREET,824240.581693864,92704.8070671222,29.2608,0.0140654686865437,10,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
10,STREET,824268.572637881,92786.8436030495,28.0416,0.00501705310339,95,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
11,STREET,824776.201129605,92741.5677270131,32.3088,0.0420289323217287,12,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
12,STREET,824764.632845762,92750.3169761033,31.6992,0.0042176682957051,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
13,STREET,824753.115068798,92758.6638594105,31.6992,0.0052512651084184,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
14,STREET,824753.114268797,92758.6673594012,31.6992,0.0052515095622438,92,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
15,STREET,824324.997925031,92767.3090421197,29.2608,0.0204183238110418,10,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
16,STREET,824355.40486422,92851.1954743429,28.3464,0.0126273183934285,96,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
17,STREET,824375.324824377,92912.2189522997,28.3464,0.0164293973863132,27,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
18,STREET,824706.118262789,92792.7337912707,31.3944,0.0030767479272177,86,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
19,STREET,824706.113162801,92792.7348912671,31.3944,0.0030767650577123,86,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
20,STREET,824583.100908827,92881.9271128804,29.8704,0.0044262351565672,22,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
21,STREET,824507.67295968,92816.85904302,29.8704,0.007863378898143,22,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
22,STREET,824446.48808205,92864.465447807,29.2608,0.0106696937220586,17,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
23,STREET,824583.099808826,92881.9302128774,29.8704,0.0044262575907718,22,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
24,STREET,824583.096408833,92881.9305128727,29.8704,0.004426364759879,22,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
25,STREET,824496.929481166,92944.7409872537,29.8704,0.0291497659176351,155,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
